lat,long,Type,Ecosystem,Mycorrhiza,Datasize
43.98,125.38,Seasonal frozen ground,Forest,EcM,1
43.98,125.38,Seasonal frozen ground,Grassland,,1
44.62,123.72,Seasonal frozen ground,Grassland,AM,1
44.25,123.57,Seasonal frozen ground,Grassland,AM,12
47.43,126.63,Seasonal frozen ground,Grassland,AM,2
48.95,125.12,Seasonal frozen ground,Grassland,AM,2
48.99,125.16,Seasonal frozen ground,Forest,EcM,2
49,125.3,Permafrost,Grassland,AM,1
49,125.3,Permafrost,Forest,EcM,3
45.6,123.85,Seasonal frozen ground,Grassland,AM,14
48.6,130.57,Seasonal frozen ground,Forest,EcM,1
48.6,130.57,Seasonal frozen ground,Wetland,NM,1
48.17,134.22,Seasonal frozen ground,Forest,EcM,3
44.19,124.9,Seasonal frozen ground,Grassland,,1
45.58,123.69,Seasonal frozen ground,Grassland,,1
45.76,123.22,Seasonal frozen ground,Grassland,,1
46.2,123.51,Seasonal frozen ground,Grassland,,1
46.07,123.26,Seasonal frozen ground,Grassland,,1
45.33,122.9,Seasonal frozen ground,Grassland,,1
45.03,123,Seasonal frozen ground,Grassland,,1
45.16,123.46,Seasonal frozen ground,Grassland,,1
44.95,123.94,Seasonal frozen ground,Grassland,,1
44.75,123.36,Seasonal frozen ground,Grassland,,1
46.53,124.43,Seasonal frozen ground,Grassland,AM,12
46,125.82,Seasonal frozen ground,Grassland,AM,12
47.13,124.83,Seasonal frozen ground,Grassland,AM,12
45.24,124.81,Seasonal frozen ground,Wetland,AM,10
45.19,124.71,Seasonal frozen ground,Grassland,AM,5
46.62,125.86,Seasonal frozen ground,Grassland,AM,3
46.62,125.86,Seasonal frozen ground,Forest,EcM,12
45.6,124.85,Seasonal frozen ground,Grassland,AM,5
48,134.33,Seasonal frozen ground,Forest,EcM,2
47.78,133.67,Seasonal frozen ground,Wetland,NM,26
47.78,133.68,Seasonal frozen ground,Wetland,NM,1
47.78,133.68,Seasonal frozen ground,Forest,EcM,1
47.76,133.62,Seasonal frozen ground,Wetland,NM,3
47.58,133.52,Seasonal frozen ground,Grassland,NM,2
47.58,133.52,Seasonal frozen ground,Forest,EcM,7
47.76,133.67,Seasonal frozen ground,Wetland,AM,1
46.77,132.25,Seasonal frozen ground,Wetland,AM,24
46.71,132.14,Seasonal frozen ground,Wetland,NM,3
46.7,132.17,Seasonal frozen ground,Wetland,AM,6
46.72,132.19,Seasonal frozen ground,Wetland,NM,3
47.58,133.63,Seasonal frozen ground,Wetland,NM,6
47.25,133.75,Seasonal frozen ground,Wetland,NM,1
47.35,133.72,Seasonal frozen ground,Wetland,NM,1
47.77,133.58,Seasonal frozen ground,Wetland,NM,1
47.58,133.5,Seasonal frozen ground,Wetland,NM,40
47.53,133.88,Seasonal frozen ground,Wetland,NM,4
47.54,133.51,Seasonal frozen ground,Forest,EcM,4
46.25,126.29,Seasonal frozen ground,Grassland,,1
46.25,126.29,Seasonal frozen ground,Forest,,4
42.4,128.47,Seasonal frozen ground,Forest,EcM,21
41.83,124.9,Seasonal frozen ground,Forest,EcM,12
42.97,122.35,Seasonal frozen ground,Forest,AM,6
